/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_23__13_17_29__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_23__13_17_29__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_23__13_17_29__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 896, mean/median reward -32.8/-30.3, min/max reward -114.5/1.0, entropy 10.06, value loss 16.29, policy loss -0.029
Updates 14, num timesteps 560000, FPS 1155, mean/median reward 61.5/63.9, min/max reward -15.4/91.7, entropy 8.14, value loss 3.06, policy loss -0.017
Updates 15, num timesteps 600000, FPS 1157, mean/median reward 67.0/66.8, min/max reward 26.8/130.7, entropy 8.03, value loss 2.93, policy loss -0.011
Updates 16, num timesteps 640000, FPS 1159, mean/median reward 69.4/69.6, min/max reward 23.2/117.1, entropy 7.91, value loss 3.66, policy loss -0.014
Updates 17, num timesteps 680000, FPS 1148, mean/median reward 75.7/74.2, min/max reward 45.2/118.6, entropy 7.83, value loss 5.28, policy loss -0.022
Updates 18, num timesteps 720000, FPS 1132, mean/median reward 88.5/87.0, min/max reward 54.5/156.7, entropy 7.75, value loss 7.46, policy loss -0.021
Updates 19, num timesteps 760000, FPS 1119, mean/median reward 100.0/100.4, min/max reward 19.7/156.7, entropy 7.68, value loss 9.13, policy loss -0.019
Updates 20, num timesteps 800000, FPS 1107, mean/median reward 117.6/118.3, min/max reward 63.4/164.9, entropy 7.59, value loss 8.22, policy loss -0.022
Updates 21, num timesteps 840000, FPS 1102, mean/median reward 129.3/127.2, min/max reward 68.3/187.5, entropy 7.51, value loss 8.20, policy loss -0.019
Updates 22, num timesteps 880000, FPS 1097, mean/median reward 141.4/145.0, min/max reward 66.5/188.2, entropy 7.43, value loss 7.49, policy loss -0.017
Updates 23, num timesteps 920000, FPS 1092, mean/median reward 147.6/152.5, min/max reward 53.1/197.5, entropy 7.33, value loss 7.67, policy loss -0.017
Updates 24, num timesteps 960000, FPS 1088, mean/median reward 159.4/163.0, min/max reward 72.2/188.9, entropy 7.23, value loss 5.03, policy loss -0.014
Updates 25, num timesteps 1000000, FPS 1084, mean/median reward 168.2/168.6, min/max reward 58.3/266.3, entropy 7.13, value loss 4.19, policy loss -0.016
Updates 26, num timesteps 1040000, FPS 1081, mean/median reward 175.8/175.9, min/max reward 125.3/255.1, entropy 7.04, value loss 4.47, policy loss -0.018
Updates 27, num timesteps 1080000, FPS 1077, mean/median reward 175.2/175.3, min/max reward 66.7/305.8, entropy 6.94, value loss 4.64, policy loss -0.015
Updates 28, num timesteps 1120000, FPS 1074, mean/median reward 183.3/183.7, min/max reward 76.6/324.6, entropy 6.83, value loss 4.54, policy loss -0.015
Updates 29, num timesteps 1160000, FPS 1072, mean/median reward 189.4/187.3, min/max reward 144.9/308.9, entropy 6.73, value loss 4.74, policy loss -0.012
Updates 30, num timesteps 1200000, FPS 1069, mean/median reward 205.6/187.6, min/max reward 158.1/519.0, entropy 6.64, value loss 8.41, policy loss -0.013
Updates 31, num timesteps 1240000, FPS 1067, mean/median reward 211.1/195.1, min/max reward 151.9/475.7, entropy 6.56, value loss 10.44, policy loss -0.016
Updates 32, num timesteps 1280000, FPS 1064, mean/median reward 245.0/211.6, min/max reward 161.4/599.6, entropy 6.49, value loss 16.13, policy loss -0.015
Updates 33, num timesteps 1320000, FPS 1062, mean/median reward 269.8/234.6, min/max reward 161.3/736.9, entropy 6.42, value loss 22.84, policy loss -0.017
Updates 34, num timesteps 1360000, FPS 1060, mean/median reward 333.2/298.0, min/max reward 166.7/1023.1, entropy 6.37, value loss 23.64, policy loss -0.015
Updates 35, num timesteps 1400000, FPS 1059, mean/median reward 340.1/308.3, min/max reward 129.2/983.4, entropy 6.31, value loss 26.85, policy loss -0.014
Updates 36, num timesteps 1440000, FPS 1057, mean/median reward 407.6/338.9, min/max reward 124.2/1156.6, entropy 6.25, value loss 28.44, policy loss -0.013
Updates 37, num timesteps 1480000, FPS 1056, mean/median reward 516.0/443.1, min/max reward 137.6/1536.5, entropy 6.21, value loss 30.03, policy loss -0.015
Updates 38, num timesteps 1520000, FPS 1054, mean/median reward 655.4/568.4, min/max reward 125.6/1608.3, entropy 6.15, value loss 23.77, policy loss -0.012
Updates 39, num timesteps 1560000, FPS 1053, mean/median reward 766.3/701.6, min/max reward 125.6/1622.4, entropy 6.08, value loss 20.34, policy loss -0.014
Updates 40, num timesteps 1600000, FPS 1051, mean/median reward 950.7/829.5, min/max reward 125.8/1665.1, entropy 6.01, value loss 21.54, policy loss -0.013
Updates 41, num timesteps 1640000, FPS 1047, mean/median reward 1112.9/1460.7, min/max reward 125.8/1665.1, entropy 5.95, value loss 18.64, policy loss -0.011
Updates 42, num timesteps 1680000, FPS 1043, mean/median reward 1202.7/1538.9, min/max reward 152.4/1699.8, entropy 5.88, value loss 15.78, policy loss -0.013
Updates 43, num timesteps 1720000, FPS 1040, mean/median reward 1294.9/1576.2, min/max reward 186.1/1699.8, entropy 5.80, value loss 13.39, policy loss -0.007
Updates 44, num timesteps 1760000, FPS 1037, mean/median reward 1387.4/1605.8, min/max reward 186.1/1719.4, entropy 5.74, value loss 9.13, policy loss -0.015
Updates 45, num timesteps 1800000, FPS 1034, mean/median reward 1451.2/1643.6, min/max reward 264.6/1793.1, entropy 5.68, value loss 12.45, policy loss -0.012
Updates 46, num timesteps 1840000, FPS 1031, mean/median reward 1495.8/1683.3, min/max reward 200.0/1800.0, entropy 5.62, value loss 9.97, policy loss -0.011
Updates 47, num timesteps 1880000, FPS 1028, mean/median reward 1496.7/1704.9, min/max reward 200.0/1800.0, entropy 5.56, value loss 11.42, policy loss -0.012
Updates 48, num timesteps 1920000, FPS 1025, mean/median reward 1575.1/1729.9, min/max reward 200.0/1846.1, entropy 5.50, value loss 8.27, policy loss -0.011
Updates 49, num timesteps 1960000, FPS 1022, mean/median reward 1592.6/1755.0, min/max reward 389.0/1866.0, entropy 5.45, value loss 11.27, policy loss -0.013
Updates 50, num timesteps 2000000, FPS 1020, mean/median reward 1536.5/1786.3, min/max reward 283.0/1903.2, entropy 5.40, value loss 21.86, policy loss -0.013
Updates 51, num timesteps 2040000, FPS 1018, mean/median reward 1524.4/1801.4, min/max reward 283.0/1934.1, entropy 5.34, value loss 12.60, policy loss -0.013
Updates 52, num timesteps 2080000, FPS 1015, mean/median reward 1580.0/1831.6, min/max reward 217.3/1940.0, entropy 5.28, value loss 13.29, policy loss -0.010
Updates 53, num timesteps 2120000, FPS 1013, mean/median reward 1715.3/1892.5, min/max reward 217.3/1987.3, entropy 5.21, value loss 8.70, policy loss -0.012
Updates 54, num timesteps 2160000, FPS 1011, mean/median reward 1740.1/1912.0, min/max reward 217.3/1998.5, entropy 5.14, value loss 7.19, policy loss -0.007
Updates 55, num timesteps 2200000, FPS 1009, mean/median reward 1822.3/1939.6, min/max reward 295.5/2026.6, entropy 5.07, value loss 6.90, policy loss -0.009
Updates 56, num timesteps 2240000, FPS 1006, mean/median reward 1865.4/1971.2, min/max reward 295.5/2056.1, entropy 4.99, value loss 8.74, policy loss -0.013
Updates 57, num timesteps 2280000, FPS 1005, mean/median reward 1894.7/1998.5, min/max reward 211.9/2063.2, entropy 4.93, value loss 10.51, policy loss -0.011
Updates 58, num timesteps 2320000, FPS 1003, mean/median reward 1864.7/2012.1, min/max reward 211.9/2116.2, entropy 4.88, value loss 13.41, policy loss -0.009
Updates 59, num timesteps 2360000, FPS 1001, mean/median reward 1875.1/2037.7, min/max reward 211.9/2145.4, entropy 4.83, value loss 10.99, policy loss -0.008
Updates 60, num timesteps 2400000, FPS 999, mean/median reward 1897.4/2067.8, min/max reward 284.1/2148.5, entropy 4.76, value loss 8.17, policy loss -0.010
Updates 61, num timesteps 2440000, FPS 998, mean/median reward 1923.9/2083.2, min/max reward 284.1/2180.5, entropy 4.70, value loss 7.68, policy loss -0.011
Updates 62, num timesteps 2480000, FPS 996, mean/median reward 1959.3/2098.9, min/max reward 284.1/2191.9, entropy 4.64, value loss 12.57, policy loss -0.012
Updates 63, num timesteps 2520000, FPS 995, mean/median reward 2002.7/2117.4, min/max reward 112.8/2203.0, entropy 4.59, value loss 7.79, policy loss -0.009
Updates 64, num timesteps 2560000, FPS 993, mean/median reward 2011.6/2128.0, min/max reward 89.0/2213.7, entropy 4.54, value loss 9.87, policy loss -0.010
Updates 65, num timesteps 2600000, FPS 992, mean/median reward 2057.7/2155.3, min/max reward 89.0/2217.1, entropy 4.49, value loss 7.98, policy loss -0.010
Updates 66, num timesteps 2640000, FPS 990, mean/median reward 2072.8/2173.4, min/max reward 89.0/2239.4, entropy 4.41, value loss 4.87, policy loss -0.006
Updates 67, num timesteps 2680000, FPS 989, mean/median reward 2018.9/2190.3, min/max reward 233.2/2297.2, entropy 4.38, value loss 36.67, policy loss 0.035
Updates 68, num timesteps 2720000, FPS 988, mean/median reward 1915.7/2205.8, min/max reward 233.2/2301.3, entropy 4.36, value loss 29.47, policy loss -0.013
Updates 69, num timesteps 2760000, FPS 986, mean/median reward 1882.8/2230.3, min/max reward 265.5/2318.4, entropy 4.32, value loss 20.12, policy loss -0.012
Updates 70, num timesteps 2800000, FPS 985, mean/median reward 1902.6/2249.3, min/max reward 361.5/2337.7, entropy 4.28, value loss 22.75, policy loss -0.013
Updates 71, num timesteps 2840000, FPS 984, mean/median reward 1939.5/2275.7, min/max reward 329.6/2369.6, entropy 4.21, value loss 11.94, policy loss -0.006
Updates 72, num timesteps 2880000, FPS 978, mean/median reward 2043.6/2292.1, min/max reward 264.0/2375.0, entropy 4.16, value loss 15.81, policy loss -0.010
Updates 73, num timesteps 2920000, FPS 974, mean/median reward 2087.0/2307.6, min/max reward 264.0/2391.1, entropy 4.12, value loss 13.54, policy loss -0.008
Updates 74, num timesteps 2960000, FPS 973, mean/median reward 2123.1/2318.4, min/max reward 264.0/2401.0, entropy 4.07, value loss 10.95, policy loss -0.003
Updates 75, num timesteps 3000000, FPS 972, mean/median reward 2172.7/2331.3, min/max reward 393.4/2410.7, entropy 4.04, value loss 16.42, policy loss -0.008
Updates 76, num timesteps 3040000, FPS 971, mean/median reward 2234.8/2342.4, min/max reward 393.4/2444.2, entropy 3.98, value loss 7.63, policy loss -0.001
Updates 77, num timesteps 3080000, FPS 970, mean/median reward 2241.4/2357.2, min/max reward 483.7/2466.1, entropy 3.92, value loss 17.16, policy loss -0.008
Updates 78, num timesteps 3120000, FPS 970, mean/median reward 2229.4/2367.4, min/max reward 549.6/2466.1, entropy 3.87, value loss 14.58, policy loss -0.013
Updates 79, num timesteps 3160000, FPS 968, mean/median reward 2271.5/2382.7, min/max reward 568.9/2466.1, entropy 3.81, value loss 6.63, policy loss -0.008
Updates 80, num timesteps 3200000, FPS 967, mean/median reward 2293.0/2394.6, min/max reward 213.3/2486.1, entropy 3.76, value loss 11.32, policy loss -0.009
Updates 81, num timesteps 3240000, FPS 966, mean/median reward 2296.4/2401.8, min/max reward 213.3/2486.1, entropy 3.69, value loss 7.26, policy loss -0.009
Updates 82, num timesteps 3280000, FPS 966, mean/median reward 2279.4/2412.3, min/max reward 213.3/2486.1, entropy 3.63, value loss 8.56, policy loss -0.006
Updates 83, num timesteps 3320000, FPS 965, mean/median reward 2304.3/2415.4, min/max reward 430.8/2492.7, entropy 3.59, value loss 5.01, policy loss -0.001
Updates 84, num timesteps 3360000, FPS 964, mean/median reward 2324.9/2428.3, min/max reward 524.3/2492.7, entropy 3.53, value loss 7.06, policy loss -0.009
Updates 85, num timesteps 3400000, FPS 964, mean/median reward 2345.8/2437.8, min/max reward 524.3/2492.7, entropy 3.48, value loss 6.12, policy loss -0.002
Updates 86, num timesteps 3440000, FPS 963, mean/median reward 2400.2/2449.1, min/max reward 597.8/2529.7, entropy 3.42, value loss 3.31, policy loss 0.001
Updates 87, num timesteps 3480000, FPS 962, mean/median reward 2432.8/2453.6, min/max reward 1128.6/2529.7, entropy 3.37, value loss 3.35, policy loss -0.002
Updates 88, num timesteps 3520000, FPS 960, mean/median reward 2437.9/2461.5, min/max reward 331.2/2532.7, entropy 3.31, value loss 3.46, policy loss -0.006
Updates 89, num timesteps 3560000, FPS 959, mean/median reward 2415.8/2465.6, min/max reward 331.2/2535.7, entropy 3.26, value loss 6.61, policy loss -0.009
Updates 90, num timesteps 3600000, FPS 959, mean/median reward 2415.7/2478.1, min/max reward 331.2/2537.6, entropy 3.21, value loss 4.44, policy loss -0.006
Updates 91, num timesteps 3640000, FPS 958, mean/median reward 2417.3/2486.9, min/max reward 609.7/2543.2, entropy 3.17, value loss 3.72, policy loss -0.000
Updates 92, num timesteps 3680000, FPS 958, mean/median reward 2445.1/2495.2, min/max reward 609.7/2584.8, entropy 3.14, value loss 9.49, policy loss -0.005
Updates 93, num timesteps 3720000, FPS 957, mean/median reward 2465.4/2507.0, min/max reward 805.7/2584.8, entropy 3.11, value loss 9.60, policy loss -0.007
Updates 94, num timesteps 3760000, FPS 957, mean/median reward 2456.0/2512.6, min/max reward 805.7/2584.8, entropy 3.06, value loss 5.95, policy loss -0.007
Updates 95, num timesteps 3800000, FPS 956, mean/median reward 2454.6/2520.2, min/max reward 796.4/2582.8, entropy 3.04, value loss 16.79, policy loss 0.006
Updates 96, num timesteps 3840000, FPS 955, mean/median reward 2354.7/2527.2, min/max reward 386.0/2610.9, entropy 3.02, value loss 17.32, policy loss -0.008
Updates 97, num timesteps 3880000, FPS 955, mean/median reward 2346.7/2536.6, min/max reward 386.0/2614.3, entropy 2.99, value loss 12.50, policy loss -0.006
Updates 98, num timesteps 3920000, FPS 955, mean/median reward 2341.9/2544.8, min/max reward 386.0/2622.4, entropy 2.96, value loss 9.51, policy loss -0.008
Updates 99, num timesteps 3960000, FPS 954, mean/median reward 2387.5/2561.2, min/max reward 443.6/2631.7, entropy 2.94, value loss 11.56, policy loss -0.003
Updates 100, num timesteps 4000000, FPS 950, mean/median reward 2411.7/2564.1, min/max reward 443.6/2637.3, entropy 2.90, value loss 9.07, policy loss -0.002
Updates 101, num timesteps 4040000, FPS 950, mean/median reward 2452.9/2565.6, min/max reward 1068.1/2637.3, entropy 2.86, value loss 13.55, policy loss -0.005
Updates 102, num timesteps 4080000, FPS 949, mean/median reward 2486.0/2583.1, min/max reward 1068.1/2640.4, entropy 2.83, value loss 5.74, policy loss -0.002
Updates 103, num timesteps 4120000, FPS 949, mean/median reward 2472.8/2584.6, min/max reward 602.9/2651.7, entropy 2.80, value loss 10.03, policy loss -0.002
Updates 104, num timesteps 4160000, FPS 948, mean/median reward 2472.3/2596.1, min/max reward 602.9/2652.8, entropy 2.78, value loss 14.55, policy loss -0.007
Updates 105, num timesteps 4200000, FPS 948, mean/median reward 2418.1/2597.7, min/max reward 553.5/2662.5, entropy 2.76, value loss 14.59, policy loss -0.010
Updates 106, num timesteps 4240000, FPS 948, mean/median reward 2430.2/2598.6, min/max reward 553.5/2662.5, entropy 2.74, value loss 11.75, policy loss -0.011
Updates 107, num timesteps 4280000, FPS 947, mean/median reward 2429.5/2606.2, min/max reward 553.5/2687.3, entropy 2.71, value loss 11.86, policy loss -0.007
Updates 108, num timesteps 4320000, FPS 947, mean/median reward 2415.6/2610.1, min/max reward 529.2/2687.3, entropy 2.68, value loss 22.97, policy loss -0.010
Updates 109, num timesteps 4360000, FPS 947, mean/median reward 2395.5/2619.0, min/max reward 529.2/2687.3, entropy 2.65, value loss 11.74, policy loss -0.006
Updates 110, num timesteps 4400000, FPS 946, mean/median reward 2393.8/2623.1, min/max reward 320.5/2698.3, entropy 2.62, value loss 10.27, policy loss -0.009
Updates 111, num timesteps 4440000, FPS 946, mean/median reward 2488.1/2632.6, min/max reward 320.5/2698.8, entropy 2.60, value loss 10.02, policy loss 0.011
Updates 112, num timesteps 4480000, FPS 944, mean/median reward 2521.6/2634.3, min/max reward 320.5/2698.8, entropy 2.56, value loss 3.49, policy loss 0.000
Updates 113, num timesteps 4520000, FPS 943, mean/median reward 2551.3/2636.0, min/max reward 367.4/2698.8, entropy 2.53, value loss 5.60, policy loss -0.003
Updates 114, num timesteps 4560000, FPS 941, mean/median reward 2578.5/2640.2, min/max reward 367.4/2693.8, entropy 2.48, value loss 3.95, policy loss 0.001
Updates 115, num timesteps 4600000, FPS 938, mean/median reward 2529.4/2641.3, min/max reward 367.4/2697.6, entropy 2.44, value loss 6.12, policy loss -0.005
Updates 116, num timesteps 4640000, FPS 936, mean/median reward 2555.0/2650.4, min/max reward 590.0/2719.4, entropy 2.42, value loss 8.56, policy loss -0.007
Updates 117, num timesteps 4680000, FPS 934, mean/median reward 2525.7/2660.6, min/max reward 320.0/2738.6, entropy 2.38, value loss 6.97, policy loss -0.002
Updates 118, num timesteps 4720000, FPS 933, mean/median reward 2572.9/2670.7, min/max reward 320.0/2738.6, entropy 2.34, value loss 7.17, policy loss -0.002
Updates 119, num timesteps 4760000, FPS 933, mean/median reward 2573.6/2678.4, min/max reward 320.0/2738.6, entropy 2.30, value loss 6.95, policy loss -0.006
Updates 120, num timesteps 4800000, FPS 933, mean/median reward 2602.5/2684.5, min/max reward 549.2/2748.7, entropy 2.27, value loss 10.75, policy loss -0.006
Updates 121, num timesteps 4840000, FPS 932, mean/median reward 2574.1/2692.6, min/max reward 540.6/2752.4, entropy 2.25, value loss 8.70, policy loss -0.008
Updates 122, num timesteps 4880000, FPS 932, mean/median reward 2625.2/2693.8, min/max reward 540.6/2769.8, entropy 2.21, value loss 3.43, policy loss -0.002
Updates 123, num timesteps 4920000, FPS 932, mean/median reward 2628.5/2694.6, min/max reward 540.6/2771.1, entropy 2.17, value loss 4.30, policy loss -0.002
Updates 124, num timesteps 4960000, FPS 932, mean/median reward 2648.1/2706.1, min/max reward 735.2/2771.1, entropy 2.12, value loss 5.33, policy loss -0.007
Updates 125, num timesteps 5000000, FPS 932, mean/median reward 2644.3/2712.8, min/max reward 713.9/2791.5, entropy 2.08, value loss 5.57, policy loss -0.007
Updates 126, num timesteps 5040000, FPS 932, mean/median reward 2623.1/2721.0, min/max reward 415.1/2791.5, entropy 2.05, value loss 12.67, policy loss -0.009
Updates 127, num timesteps 5080000, FPS 931, mean/median reward 2610.7/2723.0, min/max reward 415.1/2794.3, entropy 2.02, value loss 17.59, policy loss -0.008
Updates 128, num timesteps 5120000, FPS 927, mean/median reward 2623.1/2722.3, min/max reward 415.1/2797.4, entropy 1.98, value loss 7.58, policy loss -0.005
Updates 129, num timesteps 5160000, FPS 926, mean/median reward 2651.9/2730.2, min/max reward 536.9/2811.4, entropy 1.95, value loss 11.26, policy loss -0.009
Updates 130, num timesteps 5200000, FPS 926, mean/median reward 2622.6/2731.0, min/max reward 671.2/2811.4, entropy 1.93, value loss 18.78, policy loss -0.007
Updates 131, num timesteps 5240000, FPS 926, mean/median reward 2619.2/2735.9, min/max reward 519.1/2811.4, entropy 1.89, value loss 9.34, policy loss 0.001
Updates 132, num timesteps 5280000, FPS 926, mean/median reward 2638.6/2744.1, min/max reward 519.1/2822.4, entropy 1.85, value loss 6.02, policy loss -0.000
Updates 133, num timesteps 5320000, FPS 926, mean/median reward 2715.5/2756.4, min/max reward 519.1/2826.7, entropy 1.81, value loss 4.56, policy loss -0.000
Updates 134, num timesteps 5360000, FPS 925, mean/median reward 2741.4/2762.9, min/max reward 597.6/2826.7, entropy 1.76, value loss 2.28, policy loss -0.000
Updates 135, num timesteps 5400000, FPS 925, mean/median reward 2722.6/2766.0, min/max reward 597.6/2826.7, entropy 1.73, value loss 5.38, policy loss -0.004
Updates 136, num timesteps 5440000, FPS 925, mean/median reward 2735.3/2770.0, min/max reward 1133.5/2842.6, entropy 1.70, value loss 3.85, policy loss -0.005
Updates 137, num timesteps 5480000, FPS 925, mean/median reward 2734.9/2776.9, min/max reward 1133.5/2842.6, entropy 1.67, value loss 6.87, policy loss -0.005
Updates 138, num timesteps 5520000, FPS 921, mean/median reward 2762.2/2782.1, min/max reward 1133.5/2842.6, entropy 1.62, value loss 1.80, policy loss 0.003
Updates 139, num timesteps 5560000, FPS 921, mean/median reward 2752.3/2789.9, min/max reward 921.8/2850.6, entropy 1.59, value loss 4.48, policy loss -0.005
Updates 140, num timesteps 5600000, FPS 920, mean/median reward 2678.0/2790.3, min/max reward 393.7/2850.6, entropy 1.56, value loss 7.70, policy loss -0.008
Updates 141, num timesteps 5640000, FPS 920, mean/median reward 2650.9/2791.7, min/max reward 393.7/2860.2, entropy 1.54, value loss 7.89, policy loss -0.006
Updates 142, num timesteps 5680000, FPS 920, mean/median reward 2677.0/2797.1, min/max reward 393.7/2866.2, entropy 1.52, value loss 4.30, policy loss -0.009
Updates 143, num timesteps 5720000, FPS 920, mean/median reward 2719.2/2804.1, min/max reward 430.0/2866.2, entropy 1.50, value loss 10.58, policy loss -0.008
Updates 144, num timesteps 5760000, FPS 920, mean/median reward 2727.0/2810.7, min/max reward 430.0/2866.2, entropy 1.48, value loss 6.75, policy loss 0.002
Updates 145, num timesteps 5800000, FPS 920, mean/median reward 2736.6/2815.4, min/max reward 430.0/2877.1, entropy 1.45, value loss 6.48, policy loss -0.004
Updates 146, num timesteps 5840000, FPS 920, mean/median reward 2772.4/2818.3, min/max reward 972.1/2877.1, entropy 1.42, value loss 3.06, policy loss -0.004
Updates 147, num timesteps 5880000, FPS 920, mean/median reward 2769.0/2822.1, min/max reward 274.7/2877.1, entropy 1.39, value loss 5.28, policy loss -0.007
Updates 148, num timesteps 5920000, FPS 918, mean/median reward 2776.8/2824.2, min/max reward 274.7/2895.4, entropy 1.35, value loss 3.63, policy loss -0.007
Updates 149, num timesteps 5960000, FPS 918, mean/median reward 2776.6/2827.2, min/max reward 274.7/2895.4, entropy 1.33, value loss 8.46, policy loss -0.009
Updates 150, num timesteps 6000000, FPS 918, mean/median reward 2774.3/2832.5, min/max reward 558.9/2900.9, entropy 1.31, value loss 10.32, policy loss -0.006
Process ForkProcess-125:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
