/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_27__23_06_11__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_27__23_06_11__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_27__23_06_11__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 1004, mean/median reward 12.6/10.9, min/max reward 3.4/28.9, entropy 10.14, value loss 0.94, policy loss -0.023
Updates 79, num timesteps 3160000, FPS 943, mean/median reward 715.7/737.9, min/max reward 84.8/768.8, entropy 5.57, value loss 0.86, policy loss -0.019
Updates 80, num timesteps 3200000, FPS 943, mean/median reward 721.7/739.9, min/max reward 137.6/768.8, entropy 5.52, value loss 0.73, policy loss -0.021
Updates 81, num timesteps 3240000, FPS 943, mean/median reward 725.2/744.7, min/max reward 137.6/768.8, entropy 5.46, value loss 0.90, policy loss -0.022
Updates 82, num timesteps 3280000, FPS 943, mean/median reward 737.4/748.9, min/max reward 281.2/777.5, entropy 5.40, value loss 0.71, policy loss -0.021
Updates 83, num timesteps 3320000, FPS 944, mean/median reward 740.9/749.5, min/max reward 281.2/777.5, entropy 5.35, value loss 0.70, policy loss -0.023
Updates 84, num timesteps 3360000, FPS 944, mean/median reward 746.3/750.5, min/max reward 429.8/789.3, entropy 5.30, value loss 0.65, policy loss -0.019
Updates 85, num timesteps 3400000, FPS 944, mean/median reward 747.8/753.9, min/max reward 429.8/789.3, entropy 5.24, value loss 0.66, policy loss -0.020
Updates 86, num timesteps 3440000, FPS 944, mean/median reward 748.1/755.4, min/max reward 429.8/789.3, entropy 5.18, value loss 0.57, policy loss -0.017
Updates 87, num timesteps 3480000, FPS 944, mean/median reward 745.8/758.5, min/max reward 116.8/791.3, entropy 5.13, value loss 0.52, policy loss -0.021
Updates 88, num timesteps 3520000, FPS 944, mean/median reward 746.2/761.8, min/max reward 103.9/791.3, entropy 5.05, value loss 0.53, policy loss -0.024
Updates 89, num timesteps 3560000, FPS 944, mean/median reward 751.7/765.6, min/max reward 103.9/792.5, entropy 4.99, value loss 0.58, policy loss -0.017
Updates 90, num timesteps 3600000, FPS 945, mean/median reward 759.2/768.1, min/max reward 103.9/792.5, entropy 4.94, value loss 0.53, policy loss -0.022
Updates 91, num timesteps 3640000, FPS 945, mean/median reward 764.0/771.3, min/max reward 294.7/798.6, entropy 4.88, value loss 0.59, policy loss -0.025
Updates 92, num timesteps 3680000, FPS 945, mean/median reward 766.0/773.3, min/max reward 294.7/798.6, entropy 4.82, value loss 0.51, policy loss -0.024
Updates 93, num timesteps 3720000, FPS 945, mean/median reward 765.8/773.3, min/max reward 277.0/799.2, entropy 4.77, value loss 0.61, policy loss -0.021
Updates 94, num timesteps 3760000, FPS 945, mean/median reward 773.5/778.7, min/max reward 277.0/809.2, entropy 4.73, value loss 0.56, policy loss -0.024
Updates 95, num timesteps 3800000, FPS 945, mean/median reward 765.7/781.7, min/max reward 114.9/809.2, entropy 4.68, value loss 0.52, policy loss -0.020
Updates 96, num timesteps 3840000, FPS 945, mean/median reward 769.0/784.0, min/max reward 114.9/812.1, entropy 4.62, value loss 0.45, policy loss -0.021
Updates 97, num timesteps 3880000, FPS 945, mean/median reward 770.0/785.9, min/max reward 114.9/813.4, entropy 4.56, value loss 0.50, policy loss -0.022
Updates 98, num timesteps 3920000, FPS 945, mean/median reward 781.0/788.1, min/max reward 306.6/813.4, entropy 4.49, value loss 0.49, policy loss -0.023
Updates 99, num timesteps 3960000, FPS 945, mean/median reward 781.9/790.2, min/max reward 306.6/813.4, entropy 4.44, value loss 0.42, policy loss -0.023
Updates 100, num timesteps 4000000, FPS 945, mean/median reward 786.6/794.5, min/max reward 306.6/816.5, entropy 4.39, value loss 0.51, policy loss -0.019
Updates 101, num timesteps 4040000, FPS 945, mean/median reward 788.8/796.3, min/max reward 285.9/817.6, entropy 4.33, value loss 0.45, policy loss -0.024
Updates 102, num timesteps 4080000, FPS 945, mean/median reward 792.1/796.9, min/max reward 285.9/828.2, entropy 4.28, value loss 0.44, policy loss -0.022
Updates 103, num timesteps 4120000, FPS 945, mean/median reward 794.7/800.2, min/max reward 285.9/828.2, entropy 4.23, value loss 0.40, policy loss -0.020
Updates 104, num timesteps 4160000, FPS 944, mean/median reward 801.6/803.1, min/max reward 751.8/828.2, entropy 4.17, value loss 0.35, policy loss -0.017
Updates 105, num timesteps 4200000, FPS 944, mean/median reward 805.3/807.0, min/max reward 751.8/833.0, entropy 4.10, value loss 0.34, policy loss -0.023
Updates 106, num timesteps 4240000, FPS 944, mean/median reward 808.5/810.5, min/max reward 751.8/833.0, entropy 4.03, value loss 0.39, policy loss -0.019
Updates 107, num timesteps 4280000, FPS 944, mean/median reward 813.2/814.4, min/max reward 761.9/846.2, entropy 3.98, value loss 0.34, policy loss -0.020
Updates 108, num timesteps 4320000, FPS 944, mean/median reward 814.7/816.7, min/max reward 761.9/846.2, entropy 3.93, value loss 0.32, policy loss -0.022
Updates 109, num timesteps 4360000, FPS 945, mean/median reward 817.6/819.4, min/max reward 755.6/846.2, entropy 3.88, value loss 0.34, policy loss -0.024
Updates 110, num timesteps 4400000, FPS 945, mean/median reward 820.5/822.9, min/max reward 755.6/846.2, entropy 3.83, value loss 0.34, policy loss -0.020
Updates 111, num timesteps 4440000, FPS 945, mean/median reward 822.1/824.2, min/max reward 755.6/841.2, entropy 3.79, value loss 0.34, policy loss -0.024
Updates 112, num timesteps 4480000, FPS 945, mean/median reward 826.0/827.2, min/max reward 786.5/852.9, entropy 3.73, value loss 0.32, policy loss -0.019
Updates 113, num timesteps 4520000, FPS 945, mean/median reward 819.1/828.4, min/max reward 317.1/852.9, entropy 3.68, value loss 0.33, policy loss -0.014
Updates 114, num timesteps 4560000, FPS 945, mean/median reward 822.1/831.4, min/max reward 317.1/852.9, entropy 3.61, value loss 0.29, policy loss -0.018
Updates 115, num timesteps 4600000, FPS 945, mean/median reward 822.7/832.3, min/max reward 317.1/848.1, entropy 3.57, value loss 0.33, policy loss -0.019
Updates 116, num timesteps 4640000, FPS 945, mean/median reward 829.8/834.0, min/max reward 386.2/857.9, entropy 3.52, value loss 0.32, policy loss -0.020
Updates 117, num timesteps 4680000, FPS 945, mean/median reward 835.8/836.9, min/max reward 774.9/857.9, entropy 3.47, value loss 0.31, policy loss -0.022
Updates 118, num timesteps 4720000, FPS 945, mean/median reward 829.1/839.7, min/max reward 77.7/863.8, entropy 3.42, value loss 0.33, policy loss -0.017
Updates 119, num timesteps 4760000, FPS 945, mean/median reward 820.1/843.3, min/max reward 77.7/863.8, entropy 3.37, value loss 0.34, policy loss -0.017
Updates 120, num timesteps 4800000, FPS 945, mean/median reward 817.6/846.9, min/max reward 77.7/869.0, entropy 3.33, value loss 0.30, policy loss -0.016
Updates 121, num timesteps 4840000, FPS 945, mean/median reward 829.9/849.6, min/max reward 83.2/869.0, entropy 3.27, value loss 0.21, policy loss -0.017
Updates 122, num timesteps 4880000, FPS 945, mean/median reward 845.7/853.0, min/max reward 83.2/872.4, entropy 3.23, value loss 0.26, policy loss -0.010
Updates 123, num timesteps 4920000, FPS 945, mean/median reward 854.7/856.1, min/max reward 798.2/875.1, entropy 3.18, value loss 0.25, policy loss -0.019
Updates 124, num timesteps 4960000, FPS 945, mean/median reward 850.8/857.8, min/max reward 144.5/880.5, entropy 3.12, value loss 0.27, policy loss -0.014
Updates 125, num timesteps 5000000, FPS 945, mean/median reward 853.2/861.7, min/max reward 144.5/880.5, entropy 3.08, value loss 0.29, policy loss -0.015
Updates 126, num timesteps 5040000, FPS 945, mean/median reward 840.9/864.7, min/max reward 93.9/880.5, entropy 3.04, value loss 0.46, policy loss -0.012
Updates 127, num timesteps 5080000, FPS 945, mean/median reward 844.1/867.8, min/max reward 93.9/885.3, entropy 2.99, value loss 0.47, policy loss -0.017
Updates 128, num timesteps 5120000, FPS 945, mean/median reward 840.5/869.6, min/max reward 66.8/888.2, entropy 2.95, value loss 0.36, policy loss -0.016
Updates 129, num timesteps 5160000, FPS 945, mean/median reward 853.3/873.6, min/max reward 29.2/889.8, entropy 2.90, value loss 0.32, policy loss -0.016
Updates 130, num timesteps 5200000, FPS 945, mean/median reward 852.9/875.0, min/max reward 29.2/891.6, entropy 2.86, value loss 0.28, policy loss -0.012
Updates 131, num timesteps 5240000, FPS 941, mean/median reward 861.0/876.6, min/max reward 29.2/891.6, entropy 2.79, value loss 0.20, policy loss -0.016
Updates 132, num timesteps 5280000, FPS 941, mean/median reward 870.0/879.9, min/max reward 81.4/896.3, entropy 2.74, value loss 0.20, policy loss -0.018
Updates 133, num timesteps 5320000, FPS 941, mean/median reward 877.7/880.7, min/max reward 702.2/896.3, entropy 2.69, value loss 0.21, policy loss -0.013
Updates 134, num timesteps 5360000, FPS 941, mean/median reward 877.4/883.2, min/max reward 461.5/897.7, entropy 2.65, value loss 0.25, policy loss -0.013
Updates 135, num timesteps 5400000, FPS 941, mean/median reward 879.5/886.7, min/max reward 461.5/898.6, entropy 2.61, value loss 0.23, policy loss -0.013
Updates 136, num timesteps 5440000, FPS 941, mean/median reward 881.9/889.0, min/max reward 461.5/899.5, entropy 2.56, value loss 0.10, policy loss -0.015
Updates 137, num timesteps 5480000, FPS 941, mean/median reward 880.6/890.8, min/max reward 143.9/901.7, entropy 2.52, value loss 0.15, policy loss -0.016
Updates 138, num timesteps 5520000, FPS 940, mean/median reward 882.8/891.8, min/max reward 143.9/904.7, entropy 2.47, value loss 0.17, policy loss -0.012
Updates 139, num timesteps 5560000, FPS 940, mean/median reward 887.3/895.3, min/max reward 143.9/906.0, entropy 2.41, value loss 0.11, policy loss -0.019
Updates 140, num timesteps 5600000, FPS 940, mean/median reward 894.4/896.3, min/max reward 866.2/906.0, entropy 2.35, value loss 0.09, policy loss -0.017
Updates 141, num timesteps 5640000, FPS 940, mean/median reward 896.3/898.1, min/max reward 861.7/908.8, entropy 2.28, value loss 0.08, policy loss -0.013
Updates 142, num timesteps 5680000, FPS 940, mean/median reward 895.6/899.9, min/max reward 534.3/909.8, entropy 2.24, value loss 0.13, policy loss -0.008
Updates 143, num timesteps 5720000, FPS 940, mean/median reward 897.4/901.3, min/max reward 534.3/910.6, entropy 2.19, value loss 0.10, policy loss -0.017
Updates 144, num timesteps 5760000, FPS 940, mean/median reward 898.5/902.6, min/max reward 534.3/910.6, entropy 2.15, value loss 0.10, policy loss -0.012
Updates 145, num timesteps 5800000, FPS 939, mean/median reward 895.8/904.6, min/max reward 78.8/912.2, entropy 2.10, value loss 0.08, policy loss -0.016
Updates 146, num timesteps 5840000, FPS 939, mean/median reward 892.4/905.5, min/max reward 78.8/912.2, entropy 2.05, value loss 0.09, policy loss -0.013
Updates 147, num timesteps 5880000, FPS 939, mean/median reward 887.2/906.4, min/max reward 59.0/912.3, entropy 2.01, value loss 0.11, policy loss -0.009
Updates 148, num timesteps 5920000, FPS 939, mean/median reward 894.9/907.4, min/max reward 59.0/914.4, entropy 1.93, value loss 0.05, policy loss -0.014
Updates 149, num timesteps 5960000, FPS 940, mean/median reward 895.2/908.1, min/max reward 59.0/914.7, entropy 1.86, value loss 0.04, policy loss -0.015
Updates 150, num timesteps 6000000, FPS 940, mean/median reward 908.7/909.5, min/max reward 887.8/918.7, entropy 1.83, value loss 0.09, policy loss -0.009
Updates 151, num timesteps 6040000, FPS 940, mean/median reward 910.8/911.2, min/max reward 897.9/918.7, entropy 1.80, value loss 0.08, policy loss -0.011
Updates 152, num timesteps 6080000, FPS 940, mean/median reward 911.7/912.3, min/max reward 895.0/919.7, entropy 1.74, value loss 0.04, policy loss -0.018
Updates 153, num timesteps 6120000, FPS 940, mean/median reward 909.8/914.0, min/max reward 548.4/920.9, entropy 1.70, value loss 0.11, policy loss -0.008
Updates 154, num timesteps 6160000, FPS 940, mean/median reward 911.2/915.1, min/max reward 548.4/921.1, entropy 1.66, value loss 0.04, policy loss -0.017
Updates 155, num timesteps 6200000, FPS 940, mean/median reward 905.9/915.9, min/max reward 102.6/921.1, entropy 1.61, value loss 0.06, policy loss -0.010
Updates 156, num timesteps 6240000, FPS 940, mean/median reward 909.1/916.8, min/max reward 102.6/922.3, entropy 1.55, value loss 0.04, policy loss -0.012
Updates 157, num timesteps 6280000, FPS 940, mean/median reward 910.3/917.7, min/max reward 102.6/924.4, entropy 1.49, value loss 0.05, policy loss -0.013
Updates 158, num timesteps 6320000, FPS 940, mean/median reward 910.8/918.6, min/max reward 102.6/924.4, entropy 1.44, value loss 0.05, policy loss -0.008
Updates 159, num timesteps 6360000, FPS 940, mean/median reward 918.6/919.5, min/max reward 896.9/924.4, entropy 1.40, value loss 0.05, policy loss -0.012
Updates 160, num timesteps 6400000, FPS 940, mean/median reward 919.4/919.9, min/max reward 869.4/926.3, entropy 1.34, value loss 0.04, policy loss -0.014
