/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_27__16_04_44__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_27__16_04_44__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_27__16_04_44__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 1206, mean/median reward 17.1/15.1, min/max reward 5.0/43.2, entropy 10.16, value loss 1.35, policy loss -0.018
Updates 14, num timesteps 560000, FPS 1185, mean/median reward 83.4/75.2, min/max reward 25.8/235.0, entropy 9.49, value loss 5.53, policy loss -0.023
Updates 15, num timesteps 600000, FPS 1187, mean/median reward 96.5/76.1, min/max reward 14.1/295.6, entropy 9.44, value loss 6.82, policy loss -0.028
Updates 16, num timesteps 640000, FPS 1187, mean/median reward 102.7/81.4, min/max reward 30.2/344.6, entropy 9.39, value loss 7.38, policy loss -0.023
Updates 17, num timesteps 680000, FPS 1183, mean/median reward 122.6/104.4, min/max reward 17.7/352.2, entropy 9.33, value loss 7.54, policy loss -0.027
Updates 18, num timesteps 720000, FPS 1175, mean/median reward 141.1/117.6, min/max reward 21.6/560.2, entropy 9.29, value loss 7.55, policy loss -0.024
Updates 19, num timesteps 760000, FPS 1170, mean/median reward 166.1/139.2, min/max reward 12.3/532.4, entropy 9.25, value loss 7.80, policy loss -0.028
Updates 20, num timesteps 800000, FPS 1170, mean/median reward 195.1/162.9, min/max reward 44.4/613.6, entropy 9.21, value loss 7.34, policy loss -0.024
Updates 21, num timesteps 840000, FPS 1171, mean/median reward 251.4/216.5, min/max reward 36.6/671.5, entropy 9.16, value loss 7.07, policy loss -0.024
Updates 22, num timesteps 880000, FPS 1169, mean/median reward 261.6/223.9, min/max reward 31.9/659.9, entropy 9.12, value loss 7.77, policy loss -0.025
Updates 23, num timesteps 920000, FPS 1171, mean/median reward 291.2/255.2, min/max reward 31.9/679.9, entropy 9.07, value loss 6.88, policy loss -0.025
Updates 24, num timesteps 960000, FPS 1163, mean/median reward 354.8/307.2, min/max reward 41.3/680.2, entropy 9.01, value loss 5.11, policy loss -0.023
Updates 25, num timesteps 1000000, FPS 1159, mean/median reward 400.1/397.4, min/max reward 11.7/680.2, entropy 8.96, value loss 5.50, policy loss -0.021
Updates 26, num timesteps 1040000, FPS 1159, mean/median reward 451.3/535.2, min/max reward 11.7/689.0, entropy 8.91, value loss 4.80, policy loss -0.023
Updates 27, num timesteps 1080000, FPS 1160, mean/median reward 456.2/526.5, min/max reward 13.0/701.1, entropy 8.86, value loss 4.33, policy loss -0.024
Updates 28, num timesteps 1120000, FPS 1152, mean/median reward 483.7/619.8, min/max reward 16.6/716.0, entropy 8.81, value loss 3.73, policy loss -0.019
Updates 29, num timesteps 1160000, FPS 1149, mean/median reward 517.6/660.3, min/max reward 49.3/718.5, entropy 8.74, value loss 2.94, policy loss -0.022
Updates 30, num timesteps 1200000, FPS 1149, mean/median reward 558.6/680.4, min/max reward 49.3/730.8, entropy 8.68, value loss 3.10, policy loss -0.024
Updates 31, num timesteps 1240000, FPS 1148, mean/median reward 568.3/691.4, min/max reward 13.7/732.1, entropy 8.62, value loss 4.84, policy loss -0.018
Updates 32, num timesteps 1280000, FPS 1147, mean/median reward 577.3/698.7, min/max reward 13.7/733.4, entropy 8.55, value loss 3.61, policy loss -0.021
Updates 33, num timesteps 1320000, FPS 1148, mean/median reward 604.9/709.2, min/max reward 13.7/755.6, entropy 8.48, value loss 2.01, policy loss -0.016
Updates 34, num timesteps 1360000, FPS 1150, mean/median reward 638.0/720.7, min/max reward 15.1/755.6, entropy 8.42, value loss 2.71, policy loss -0.013
Updates 35, num timesteps 1400000, FPS 1151, mean/median reward 656.5/725.3, min/max reward 18.4/755.6, entropy 8.35, value loss 3.03, policy loss -0.021
Updates 36, num timesteps 1440000, FPS 1153, mean/median reward 674.5/734.5, min/max reward 18.4/765.2, entropy 8.27, value loss 1.74, policy loss -0.016
Updates 37, num timesteps 1480000, FPS 1154, mean/median reward 693.1/743.6, min/max reward 18.4/778.0, entropy 8.18, value loss 1.38, policy loss -0.015
Updates 38, num timesteps 1520000, FPS 1155, mean/median reward 696.1/751.9, min/max reward 81.6/782.4, entropy 8.11, value loss 2.39, policy loss -0.013
Updates 39, num timesteps 1560000, FPS 1157, mean/median reward 697.0/758.4, min/max reward 17.3/785.8, entropy 8.04, value loss 2.78, policy loss -0.008
Updates 40, num timesteps 1600000, FPS 1152, mean/median reward 715.0/766.8, min/max reward 17.3/796.0, entropy 7.95, value loss 0.66, policy loss -0.009
Updates 41, num timesteps 1640000, FPS 1153, mean/median reward 757.3/780.2, min/max reward 17.3/801.7, entropy 7.87, value loss 0.97, policy loss -0.008
Updates 42, num timesteps 1680000, FPS 1154, mean/median reward 772.1/787.3, min/max reward 17.3/809.3, entropy 7.78, value loss 0.52, policy loss -0.011
Updates 43, num timesteps 1720000, FPS 1155, mean/median reward 773.8/793.5, min/max reward 52.3/818.2, entropy 7.70, value loss 1.16, policy loss -0.014
Updates 44, num timesteps 1760000, FPS 1156, mean/median reward 784.9/801.4, min/max reward 235.5/818.2, entropy 7.61, value loss 0.84, policy loss -0.014
Updates 45, num timesteps 1800000, FPS 1157, mean/median reward 789.1/806.2, min/max reward 235.5/831.6, entropy 7.53, value loss 0.41, policy loss -0.004
Updates 46, num timesteps 1840000, FPS 1158, mean/median reward 804.1/810.7, min/max reward 354.4/834.2, entropy 7.44, value loss 0.39, policy loss -0.004
Updates 47, num timesteps 1880000, FPS 1158, mean/median reward 810.2/819.4, min/max reward 103.2/834.5, entropy 7.36, value loss 0.27, policy loss -0.012
Updates 48, num timesteps 1920000, FPS 1152, mean/median reward 808.1/823.9, min/max reward 103.2/838.3, entropy 7.29, value loss 0.65, policy loss -0.014
Updates 49, num timesteps 1960000, FPS 1147, mean/median reward 794.6/827.5, min/max reward 103.2/838.5, entropy 7.22, value loss 0.71, policy loss -0.015
Updates 50, num timesteps 2000000, FPS 1142, mean/median reward 802.2/830.1, min/max reward 225.3/841.6, entropy 7.14, value loss 0.42, policy loss -0.014
Updates 51, num timesteps 2040000, FPS 1137, mean/median reward 802.3/831.2, min/max reward 225.3/845.5, entropy 7.07, value loss 0.83, policy loss -0.006
Updates 52, num timesteps 2080000, FPS 1133, mean/median reward 829.2/836.6, min/max reward 249.0/851.7, entropy 7.00, value loss 0.53, policy loss -0.007
Updates 53, num timesteps 2120000, FPS 1128, mean/median reward 829.6/841.4, min/max reward 188.0/857.0, entropy 6.92, value loss 1.48, policy loss -0.005
Updates 54, num timesteps 2160000, FPS 1124, mean/median reward 835.0/846.0, min/max reward 188.0/858.7, entropy 6.84, value loss 0.29, policy loss -0.012
Updates 55, num timesteps 2200000, FPS 1120, mean/median reward 844.9/852.2, min/max reward 188.0/862.2, entropy 6.75, value loss 0.33, policy loss -0.020
Updates 56, num timesteps 2240000, FPS 1115, mean/median reward 855.6/856.9, min/max reward 793.3/866.8, entropy 6.66, value loss 0.27, policy loss -0.016
Updates 57, num timesteps 2280000, FPS 1107, mean/median reward 857.7/858.9, min/max reward 742.6/872.2, entropy 6.58, value loss 0.27, policy loss 0.001
Updates 58, num timesteps 2320000, FPS 1104, mean/median reward 858.0/861.8, min/max reward 502.3/872.2, entropy 6.50, value loss 0.96, policy loss -0.001
Updates 59, num timesteps 2360000, FPS 1100, mean/median reward 858.5/865.8, min/max reward 502.3/875.0, entropy 6.42, value loss 0.23, policy loss 0.006
Updates 60, num timesteps 2400000, FPS 1097, mean/median reward 861.8/868.1, min/max reward 502.3/877.7, entropy 6.33, value loss 0.18, policy loss -0.010
Updates 61, num timesteps 2440000, FPS 1094, mean/median reward 867.6/871.4, min/max reward 572.9/878.0, entropy 6.23, value loss 0.17, policy loss -0.012
Updates 62, num timesteps 2480000, FPS 1091, mean/median reward 871.6/872.5, min/max reward 845.2/881.1, entropy 6.16, value loss 0.17, policy loss -0.006
Updates 63, num timesteps 2520000, FPS 1088, mean/median reward 873.4/873.5, min/max reward 853.5/881.1, entropy 6.09, value loss 0.17, policy loss -0.013
Updates 64, num timesteps 2560000, FPS 1085, mean/median reward 873.9/875.2, min/max reward 800.5/882.6, entropy 6.02, value loss 0.17, policy loss -0.009
Updates 65, num timesteps 2600000, FPS 1081, mean/median reward 875.9/876.7, min/max reward 800.5/882.6, entropy 5.93, value loss 0.15, policy loss -0.013
Updates 66, num timesteps 2640000, FPS 1079, mean/median reward 877.0/878.0, min/max reward 800.5/884.8, entropy 5.86, value loss 0.20, policy loss -0.015
Updates 67, num timesteps 2680000, FPS 1076, mean/median reward 879.4/879.2, min/max reward 871.3/887.2, entropy 5.77, value loss 0.14, policy loss -0.009
Updates 68, num timesteps 2720000, FPS 1074, mean/median reward 875.9/882.6, min/max reward 79.1/889.4, entropy 5.70, value loss 0.18, policy loss -0.012
Updates 69, num timesteps 2760000, FPS 1071, mean/median reward 878.0/884.8, min/max reward 79.1/890.3, entropy 5.61, value loss 0.15, policy loss -0.013
Updates 70, num timesteps 2800000, FPS 1069, mean/median reward 873.6/886.4, min/max reward 79.1/891.3, entropy 5.55, value loss 0.17, policy loss -0.007
Updates 71, num timesteps 2840000, FPS 1067, mean/median reward 881.7/888.4, min/max reward 91.3/894.3, entropy 5.49, value loss 0.29, policy loss -0.013
Updates 72, num timesteps 2880000, FPS 1065, mean/median reward 876.6/889.6, min/max reward 66.1/895.8, entropy 5.44, value loss 0.32, policy loss -0.012
Updates 73, num timesteps 2920000, FPS 1063, mean/median reward 883.8/890.9, min/max reward 66.1/895.8, entropy 5.38, value loss 0.20, policy loss -0.009
Updates 74, num timesteps 2960000, FPS 1061, mean/median reward 885.1/891.7, min/max reward 66.1/897.7, entropy 5.31, value loss 0.15, policy loss -0.003
Updates 75, num timesteps 3000000, FPS 1059, mean/median reward 886.5/893.4, min/max reward 66.1/899.2, entropy 5.25, value loss 0.13, policy loss -0.013
Updates 76, num timesteps 3040000, FPS 1052, mean/median reward 894.2/894.3, min/max reward 883.0/899.7, entropy 5.20, value loss 0.13, policy loss -0.011
Updates 77, num timesteps 3080000, FPS 1051, mean/median reward 895.5/895.8, min/max reward 883.0/900.5, entropy 5.14, value loss 0.13, policy loss -0.008
Updates 78, num timesteps 3120000, FPS 1049, mean/median reward 896.7/896.5, min/max reward 886.7/901.2, entropy 5.08, value loss 0.13, policy loss -0.013
Updates 79, num timesteps 3160000, FPS 1047, mean/median reward 897.5/897.5, min/max reward 886.7/901.4, entropy 5.02, value loss 0.14, policy loss -0.009
Updates 80, num timesteps 3200000, FPS 1045, mean/median reward 897.9/898.3, min/max reward 886.7/903.2, entropy 4.95, value loss 0.11, policy loss -0.013
Updates 81, num timesteps 3240000, FPS 1044, mean/median reward 898.2/898.5, min/max reward 888.9/903.2, entropy 4.90, value loss 0.14, policy loss -0.009
Updates 82, num timesteps 3280000, FPS 1038, mean/median reward 898.6/898.6, min/max reward 888.9/903.5, entropy 4.84, value loss 0.17, policy loss -0.021
Updates 83, num timesteps 3320000, FPS 1037, mean/median reward 899.6/899.9, min/max reward 877.4/904.8, entropy 4.79, value loss 0.15, policy loss -0.014
Updates 84, num timesteps 3360000, FPS 1035, mean/median reward 901.1/901.5, min/max reward 877.4/905.7, entropy 4.74, value loss 0.15, policy loss -0.021
Updates 85, num timesteps 3400000, FPS 1034, mean/median reward 902.1/902.4, min/max reward 877.4/906.3, entropy 4.68, value loss 0.14, policy loss -0.015
Updates 86, num timesteps 3440000, FPS 1032, mean/median reward 903.1/903.3, min/max reward 877.4/909.5, entropy 4.64, value loss 0.15, policy loss -0.001
Updates 87, num timesteps 3480000, FPS 1031, mean/median reward 904.0/904.0, min/max reward 899.4/909.5, entropy 4.58, value loss 0.11, policy loss -0.011
Updates 88, num timesteps 3520000, FPS 1029, mean/median reward 904.4/904.5, min/max reward 885.5/909.5, entropy 4.53, value loss 0.10, policy loss -0.014
Updates 89, num timesteps 3560000, FPS 1028, mean/median reward 904.0/905.2, min/max reward 837.9/910.7, entropy 4.46, value loss 0.13, policy loss -0.007
Updates 90, num timesteps 3600000, FPS 1027, mean/median reward 904.8/906.1, min/max reward 837.9/910.7, entropy 4.40, value loss 0.10, policy loss -0.010
Updates 91, num timesteps 3640000, FPS 1026, mean/median reward 905.6/906.8, min/max reward 837.9/911.1, entropy 4.34, value loss 0.10, policy loss -0.008
Updates 92, num timesteps 3680000, FPS 1024, mean/median reward 907.7/907.7, min/max reward 898.4/912.2, entropy 4.29, value loss 0.10, policy loss -0.017
Updates 93, num timesteps 3720000, FPS 1023, mean/median reward 896.3/909.0, min/max reward 101.2/914.6, entropy 4.26, value loss 0.19, policy loss -0.007
Updates 94, num timesteps 3760000, FPS 1022, mean/median reward 897.3/910.0, min/max reward 101.2/914.6, entropy 4.21, value loss 0.11, policy loss -0.014
Updates 95, num timesteps 3800000, FPS 1021, mean/median reward 897.8/910.4, min/max reward 101.2/914.6, entropy 4.17, value loss 0.11, policy loss -0.014
Updates 96, num timesteps 3840000, FPS 1016, mean/median reward 904.2/911.0, min/max reward 151.3/914.6, entropy 4.13, value loss 0.16, policy loss -0.008
Updates 97, num timesteps 3880000, FPS 1015, mean/median reward 910.5/911.6, min/max reward 838.1/915.1, entropy 4.09, value loss 0.12, policy loss -0.015
Updates 98, num timesteps 3920000, FPS 1014, mean/median reward 910.8/911.7, min/max reward 838.1/915.1, entropy 4.05, value loss 0.10, policy loss -0.011
Updates 99, num timesteps 3960000, FPS 1013, mean/median reward 911.8/911.9, min/max reward 904.1/916.3, entropy 4.02, value loss 0.12, policy loss -0.011
Updates 100, num timesteps 4000000, FPS 1012, mean/median reward 912.0/912.3, min/max reward 904.1/916.3, entropy 3.97, value loss 0.10, policy loss -0.018
Updates 101, num timesteps 4040000, FPS 1011, mean/median reward 907.2/912.6, min/max reward 262.0/916.7, entropy 3.94, value loss 0.14, policy loss -0.011
Updates 102, num timesteps 4080000, FPS 1010, mean/median reward 907.8/913.4, min/max reward 262.0/917.5, entropy 3.91, value loss 0.09, policy loss -0.012
Updates 103, num timesteps 4120000, FPS 1009, mean/median reward 906.4/914.3, min/max reward 262.0/917.6, entropy 3.87, value loss 0.13, policy loss -0.010
Updates 104, num timesteps 4160000, FPS 1008, mean/median reward 911.9/914.7, min/max reward 635.3/918.6, entropy 3.83, value loss 0.11, policy loss -0.016
Updates 105, num timesteps 4200000, FPS 1007, mean/median reward 912.4/914.7, min/max reward 635.3/920.4, entropy 3.79, value loss 0.11, policy loss -0.013
Updates 106, num timesteps 4240000, FPS 1006, mean/median reward 914.6/914.8, min/max reward 900.4/920.4, entropy 3.75, value loss 0.10, policy loss -0.019
Updates 107, num timesteps 4280000, FPS 997, mean/median reward 914.7/914.9, min/max reward 907.0/920.4, entropy 3.71, value loss 0.11, policy loss -0.014
Updates 108, num timesteps 4320000, FPS 996, mean/median reward 914.8/915.1, min/max reward 907.0/918.9, entropy 3.67, value loss 0.11, policy loss -0.010
Updates 109, num timesteps 4360000, FPS 995, mean/median reward 915.0/915.2, min/max reward 908.8/918.9, entropy 3.65, value loss 0.10, policy loss -0.015
Updates 110, num timesteps 4400000, FPS 995, mean/median reward 915.3/915.5, min/max reward 908.8/919.7, entropy 3.62, value loss 0.11, policy loss -0.017
Updates 111, num timesteps 4440000, FPS 994, mean/median reward 915.7/916.0, min/max reward 908.8/919.7, entropy 3.59, value loss 0.11, policy loss -0.015
Updates 112, num timesteps 4480000, FPS 993, mean/median reward 916.4/916.5, min/max reward 912.4/920.0, entropy 3.55, value loss 0.11, policy loss -0.019
Updates 113, num timesteps 4520000, FPS 993, mean/median reward 916.9/917.0, min/max reward 910.1/920.5, entropy 3.52, value loss 0.12, policy loss -0.018
Updates 114, num timesteps 4560000, FPS 992, mean/median reward 911.1/917.2, min/max reward 154.9/921.4, entropy 3.49, value loss 0.13, policy loss -0.010
Updates 115, num timesteps 4600000, FPS 991, mean/median reward 905.1/917.5, min/max reward 112.9/922.3, entropy 3.46, value loss 0.16, policy loss -0.012
Updates 116, num timesteps 4640000, FPS 991, mean/median reward 905.3/917.7, min/max reward 112.9/922.3, entropy 3.42, value loss 0.17, policy loss -0.008
Updates 117, num timesteps 4680000, FPS 990, mean/median reward 911.7/918.1, min/max reward 112.9/922.3, entropy 3.38, value loss 0.11, policy loss -0.015
Updates 118, num timesteps 4720000, FPS 990, mean/median reward 913.8/918.5, min/max reward 354.5/922.2, entropy 3.36, value loss 0.13, policy loss -0.006
Updates 119, num timesteps 4760000, FPS 987, mean/median reward 914.1/918.9, min/max reward 354.5/922.9, entropy 3.33, value loss 0.12, policy loss -0.010
Updates 120, num timesteps 4800000, FPS 979, mean/median reward 914.5/919.3, min/max reward 354.5/922.9, entropy 3.29, value loss 0.14, policy loss -0.016
Updates 121, num timesteps 4840000, FPS 978, mean/median reward 919.4/919.7, min/max reward 897.3/923.2, entropy 3.26, value loss 0.12, policy loss -0.016
Updates 122, num timesteps 4880000, FPS 977, mean/median reward 919.8/920.0, min/max reward 913.8/923.3, entropy 3.22, value loss 0.12, policy loss -0.017
Process ForkProcess-125:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-124:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-123:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-122:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-121:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-120:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-119:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
