/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/torch/cuda/__init__.py:52: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  /pytorch/c10/cuda/CUDAFunctions.cpp:100.)
  return torch._C._cuda_getDeviceCount() > 0
WARNING - sacred_utils - No observers have been added to this run
INFO - sacred_utils - Running command 'main'
INFO - sacred_utils - Started
pybullet build time: Dec 23 2020 01:46:51
==============SETTINGS================
{'device': 'cpu',
 'env': 'mocca_envs:Walker2DCustomEnv-v0',
 'episode_steps': 40000,
 'experiment_dir': 'runs/2021_03_23__11_27_27__walker_experiment/',
 'gae_lambda': 0.95,
 'gamma': 0.99,
 'log_dir': 'runs/2021_03_23__11_27_27__walker_experiment/logs',
 'log_interval': 2,
 'lr': 0.0003,
 'lr_decay_type': 'exponential',
 'mini_batch_size': 1024,
 'net': None,
 'num_frames': 10000000.0,
 'num_mini_batch': 39,
 'num_processes': 125,
 'num_steps': 320,
 'ppo_params': {'clip_param': 0.2,
                'entropy_coef': 0.0,
                'eps': 1e-05,
                'lr': 0.0003,
                'max_grad_norm': 2.0,
                'num_mini_batch': 39,
                'ppo_epoch': 10,
                'use_clipped_value_loss': False,
                'value_loss_coef': 1.0},
 'replicate_num': 1,
 'save_dir': 'runs/2021_03_23__11_27_27__walker_experiment/models',
 'save_every': 2000000,
 'seed': 16,
 'use_gae': True}
--------------------------------------
/home/uni/.pyenv/versions/optim/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Updates 1, num timesteps 40000, FPS 782, mean/median reward -33.7/-30.2, min/max reward -99.2/-5.1, entropy 10.06, value loss 16.50, policy loss -0.028
Updates 24, num timesteps 960000, FPS 1021, mean/median reward 185.8/172.3, min/max reward 60.6/294.5, entropy 7.29, value loss 11.21, policy loss -0.017
Updates 25, num timesteps 1000000, FPS 1016, mean/median reward 194.3/177.2, min/max reward 65.7/300.5, entropy 7.22, value loss 11.26, policy loss -0.016
Updates 26, num timesteps 1040000, FPS 1015, mean/median reward 216.7/217.3, min/max reward 61.0/300.5, entropy 7.15, value loss 12.81, policy loss -0.015
Updates 27, num timesteps 1080000, FPS 1014, mean/median reward 233.6/250.4, min/max reward 127.1/325.1, entropy 7.06, value loss 11.03, policy loss -0.018
Updates 28, num timesteps 1120000, FPS 1014, mean/median reward 256.8/271.9, min/max reward 44.5/331.1, entropy 6.97, value loss 9.71, policy loss -0.016
Updates 29, num timesteps 1160000, FPS 1013, mean/median reward 251.3/268.9, min/max reward 143.2/397.2, entropy 6.90, value loss 9.61, policy loss -0.013
Updates 30, num timesteps 1200000, FPS 1013, mean/median reward 267.5/277.8, min/max reward 98.1/500.8, entropy 6.83, value loss 10.72, policy loss -0.018
Updates 31, num timesteps 1240000, FPS 1013, mean/median reward 301.2/293.4, min/max reward 139.7/544.6, entropy 6.76, value loss 12.93, policy loss -0.016
Updates 32, num timesteps 1280000, FPS 1012, mean/median reward 330.4/300.8, min/max reward 13.7/708.0, entropy 6.69, value loss 14.66, policy loss -0.021
Updates 33, num timesteps 1320000, FPS 1012, mean/median reward 375.2/322.7, min/max reward 167.7/875.9, entropy 6.63, value loss 20.63, policy loss -0.017
Updates 34, num timesteps 1360000, FPS 1012, mean/median reward 418.1/355.6, min/max reward 157.5/1083.6, entropy 6.58, value loss 21.66, policy loss -0.018
Updates 35, num timesteps 1400000, FPS 1011, mean/median reward 451.7/383.9, min/max reward 173.6/1075.4, entropy 6.52, value loss 23.06, policy loss -0.016
Updates 36, num timesteps 1440000, FPS 1011, mean/median reward 555.8/480.9, min/max reward 193.5/1501.8, entropy 6.46, value loss 22.94, policy loss -0.015
Updates 37, num timesteps 1480000, FPS 1011, mean/median reward 694.5/614.7, min/max reward 198.1/1548.1, entropy 6.40, value loss 22.37, policy loss -0.018
Updates 38, num timesteps 1520000, FPS 1011, mean/median reward 700.6/611.4, min/max reward 198.1/1594.4, entropy 6.35, value loss 24.12, policy loss -0.019
Updates 39, num timesteps 1560000, FPS 1010, mean/median reward 787.2/637.3, min/max reward 279.3/1640.3, entropy 6.30, value loss 24.18, policy loss -0.014
Updates 40, num timesteps 1600000, FPS 1010, mean/median reward 846.5/689.5, min/max reward 73.4/1640.3, entropy 6.25, value loss 21.66, policy loss -0.014
Updates 41, num timesteps 1640000, FPS 1010, mean/median reward 977.3/917.7, min/max reward 73.4/1640.3, entropy 6.19, value loss 16.86, policy loss -0.012
Updates 42, num timesteps 1680000, FPS 1010, mean/median reward 1094.8/1231.8, min/max reward 178.3/1677.0, entropy 6.12, value loss 21.03, policy loss -0.013
Updates 43, num timesteps 1720000, FPS 1010, mean/median reward 1165.3/1419.0, min/max reward 177.5/1677.0, entropy 6.06, value loss 13.34, policy loss -0.011
Updates 44, num timesteps 1760000, FPS 1009, mean/median reward 1183.4/1509.5, min/max reward 177.5/1709.3, entropy 6.01, value loss 19.18, policy loss -0.017
Updates 45, num timesteps 1800000, FPS 1009, mean/median reward 1280.6/1584.7, min/max reward 177.5/1713.4, entropy 5.94, value loss 14.11, policy loss -0.015
Updates 46, num timesteps 1840000, FPS 1009, mean/median reward 1308.5/1608.8, min/max reward 174.3/1774.2, entropy 5.88, value loss 21.23, policy loss -0.013
Updates 47, num timesteps 1880000, FPS 1009, mean/median reward 1444.7/1658.2, min/max reward 174.3/1792.0, entropy 5.81, value loss 11.57, policy loss -0.016
Updates 48, num timesteps 1920000, FPS 1008, mean/median reward 1447.9/1690.8, min/max reward 174.3/1792.0, entropy 5.74, value loss 8.32, policy loss -0.008
Updates 49, num timesteps 1960000, FPS 1008, mean/median reward 1512.8/1711.2, min/max reward 226.4/1845.5, entropy 5.68, value loss 14.51, policy loss -0.013
Updates 50, num timesteps 2000000, FPS 1008, mean/median reward 1502.1/1727.0, min/max reward 290.6/1877.9, entropy 5.59, value loss 11.46, policy loss -0.016
Updates 51, num timesteps 2040000, FPS 1008, mean/median reward 1552.8/1761.0, min/max reward 316.2/1884.7, entropy 5.52, value loss 11.48, policy loss -0.010
Updates 52, num timesteps 2080000, FPS 1008, mean/median reward 1615.1/1810.8, min/max reward 215.8/1911.7, entropy 5.47, value loss 16.17, policy loss -0.010
Updates 53, num timesteps 2120000, FPS 1007, mean/median reward 1586.4/1816.1, min/max reward 215.8/1947.0, entropy 5.40, value loss 16.51, policy loss -0.011
Updates 54, num timesteps 2160000, FPS 1007, mean/median reward 1619.1/1860.7, min/max reward 215.8/1971.1, entropy 5.34, value loss 11.38, policy loss -0.014
Updates 55, num timesteps 2200000, FPS 1007, mean/median reward 1657.2/1884.2, min/max reward 370.1/2002.5, entropy 5.28, value loss 13.39, policy loss -0.016
Updates 56, num timesteps 2240000, FPS 1007, mean/median reward 1687.3/1907.6, min/max reward 60.0/2012.1, entropy 5.22, value loss 14.55, policy loss -0.014
Updates 57, num timesteps 2280000, FPS 1007, mean/median reward 1696.9/1921.5, min/max reward 60.0/2022.2, entropy 5.14, value loss 8.69, policy loss -0.010
Updates 58, num timesteps 2320000, FPS 1006, mean/median reward 1738.6/1947.9, min/max reward 60.0/2022.2, entropy 5.07, value loss 8.23, policy loss -0.008
Updates 59, num timesteps 2360000, FPS 1006, mean/median reward 1803.5/1972.8, min/max reward 277.7/2051.8, entropy 5.01, value loss 17.24, policy loss -0.016
Updates 60, num timesteps 2400000, FPS 1005, mean/median reward 1771.8/1975.3, min/max reward 277.7/2098.8, entropy 4.95, value loss 13.59, policy loss -0.006
Updates 61, num timesteps 2440000, FPS 1004, mean/median reward 1753.2/2008.4, min/max reward 178.1/2098.8, entropy 4.90, value loss 13.34, policy loss -0.009
Updates 62, num timesteps 2480000, FPS 1002, mean/median reward 1800.0/2039.2, min/max reward 178.1/2122.6, entropy 4.85, value loss 9.35, policy loss -0.004
Updates 63, num timesteps 2520000, FPS 1000, mean/median reward 1859.1/2051.6, min/max reward 178.1/2149.9, entropy 4.80, value loss 13.27, policy loss -0.011
Updates 64, num timesteps 2560000, FPS 999, mean/median reward 1897.8/2069.9, min/max reward 273.6/2154.6, entropy 4.74, value loss 13.35, policy loss -0.008
Updates 65, num timesteps 2600000, FPS 997, mean/median reward 1902.1/2082.2, min/max reward 281.1/2192.0, entropy 4.68, value loss 17.61, policy loss -0.009
Updates 66, num timesteps 2640000, FPS 996, mean/median reward 1932.7/2105.9, min/max reward 475.1/2204.5, entropy 4.62, value loss 10.01, policy loss -0.006
Updates 67, num timesteps 2680000, FPS 995, mean/median reward 1955.2/2121.8, min/max reward 68.7/2204.5, entropy 4.57, value loss 14.12, policy loss -0.008
Updates 68, num timesteps 2720000, FPS 993, mean/median reward 2011.5/2154.0, min/max reward 68.7/2231.6, entropy 4.52, value loss 14.63, policy loss -0.008
Updates 69, num timesteps 2760000, FPS 992, mean/median reward 2023.3/2171.5, min/max reward 68.7/2260.8, entropy 4.47, value loss 12.50, policy loss -0.005
Updates 70, num timesteps 2800000, FPS 991, mean/median reward 2045.9/2190.6, min/max reward 174.7/2268.2, entropy 4.40, value loss 10.14, policy loss 0.006
Updates 71, num timesteps 2840000, FPS 990, mean/median reward 2042.0/2201.1, min/max reward 160.4/2270.3, entropy 4.35, value loss 12.94, policy loss -0.009
Updates 72, num timesteps 2880000, FPS 988, mean/median reward 2036.3/2217.7, min/max reward 160.4/2309.9, entropy 4.30, value loss 20.67, policy loss -0.009
Updates 73, num timesteps 2920000, FPS 987, mean/median reward 1968.7/2239.6, min/max reward 160.4/2333.5, entropy 4.26, value loss 22.71, policy loss -0.010
Updates 74, num timesteps 2960000, FPS 986, mean/median reward 1960.1/2248.7, min/max reward 154.7/2359.8, entropy 4.23, value loss 17.25, policy loss -0.010
Updates 75, num timesteps 3000000, FPS 985, mean/median reward 1998.3/2261.1, min/max reward 154.7/2359.8, entropy 4.18, value loss 13.21, policy loss -0.005
Updates 76, num timesteps 3040000, FPS 984, mean/median reward 2060.0/2279.2, min/max reward 154.7/2371.6, entropy 4.13, value loss 15.34, policy loss -0.005
Updates 77, num timesteps 3080000, FPS 983, mean/median reward 2061.4/2288.7, min/max reward 169.1/2371.6, entropy 4.09, value loss 20.33, policy loss -0.010
Updates 78, num timesteps 3120000, FPS 982, mean/median reward 2045.7/2301.3, min/max reward 175.8/2390.4, entropy 4.05, value loss 23.51, policy loss -0.011
Updates 79, num timesteps 3160000, FPS 981, mean/median reward 2026.5/2309.5, min/max reward 175.8/2390.4, entropy 4.02, value loss 21.96, policy loss -0.009
Updates 80, num timesteps 3200000, FPS 974, mean/median reward 2028.0/2321.2, min/max reward 175.8/2396.4, entropy 4.00, value loss 22.56, policy loss -0.011
Updates 81, num timesteps 3240000, FPS 964, mean/median reward 2093.0/2331.4, min/max reward 373.0/2408.9, entropy 3.96, value loss 13.23, policy loss -0.007
Updates 82, num timesteps 3280000, FPS 961, mean/median reward 2138.6/2340.4, min/max reward 396.2/2409.4, entropy 3.91, value loss 14.92, policy loss -0.007
Updates 83, num timesteps 3320000, FPS 949, mean/median reward 2162.0/2347.9, min/max reward 334.5/2409.4, entropy 3.86, value loss 20.40, policy loss -0.007
Updates 84, num timesteps 3360000, FPS 935, mean/median reward 2066.9/2344.5, min/max reward 334.5/2463.6, entropy 3.83, value loss 25.94, policy loss -0.007
Updates 85, num timesteps 3400000, FPS 934, mean/median reward 2074.2/2350.2, min/max reward 62.9/2463.6, entropy 3.78, value loss 14.59, policy loss -0.004
Updates 86, num timesteps 3440000, FPS 932, mean/median reward 2111.4/2363.7, min/max reward 62.9/2463.6, entropy 3.74, value loss 11.21, policy loss -0.004
Updates 87, num timesteps 3480000, FPS 930, mean/median reward 2252.1/2376.2, min/max reward 62.9/2437.6, entropy 3.69, value loss 11.43, policy loss -0.008
Updates 88, num timesteps 3520000, FPS 929, mean/median reward 2243.0/2376.2, min/max reward 181.5/2446.3, entropy 3.65, value loss 14.04, policy loss -0.005
Updates 89, num timesteps 3560000, FPS 930, mean/median reward 2226.4/2378.5, min/max reward 163.4/2446.3, entropy 3.62, value loss 14.16, policy loss -0.003
Updates 90, num timesteps 3600000, FPS 930, mean/median reward 2150.5/2386.7, min/max reward 163.4/2474.2, entropy 3.58, value loss 12.57, policy loss -0.002
Updates 91, num timesteps 3640000, FPS 928, mean/median reward 2189.7/2405.0, min/max reward 163.4/2498.0, entropy 3.56, value loss 12.39, policy loss -0.005
Updates 92, num timesteps 3680000, FPS 928, mean/median reward 2215.3/2422.0, min/max reward 344.8/2498.0, entropy 3.53, value loss 14.30, policy loss -0.005
Updates 93, num timesteps 3720000, FPS 929, mean/median reward 2239.1/2433.6, min/max reward 403.2/2505.2, entropy 3.50, value loss 21.71, policy loss -0.008
Updates 94, num timesteps 3760000, FPS 929, mean/median reward 2200.1/2442.6, min/max reward 163.4/2521.0, entropy 3.46, value loss 21.55, policy loss -0.006
Updates 95, num timesteps 3800000, FPS 929, mean/median reward 2241.0/2451.8, min/max reward 163.4/2521.5, entropy 3.42, value loss 9.98, policy loss -0.001
Updates 96, num timesteps 3840000, FPS 930, mean/median reward 2274.6/2462.3, min/max reward 163.4/2537.0, entropy 3.38, value loss 7.84, policy loss -0.005
Updates 97, num timesteps 3880000, FPS 930, mean/median reward 2325.4/2465.4, min/max reward 483.0/2537.0, entropy 3.34, value loss 13.76, policy loss -0.009
Updates 98, num timesteps 3920000, FPS 931, mean/median reward 2331.0/2464.8, min/max reward 483.0/2537.0, entropy 3.30, value loss 8.36, policy loss 0.004
Updates 99, num timesteps 3960000, FPS 931, mean/median reward 2361.9/2468.2, min/max reward 690.8/2534.5, entropy 3.27, value loss 5.55, policy loss -0.002
Updates 100, num timesteps 4000000, FPS 931, mean/median reward 2371.6/2473.1, min/max reward 818.3/2544.9, entropy 3.22, value loss 10.64, policy loss -0.010
Updates 101, num timesteps 4040000, FPS 932, mean/median reward 2405.6/2483.9, min/max reward 818.3/2549.7, entropy 3.17, value loss 4.53, policy loss -0.004
Updates 102, num timesteps 4080000, FPS 932, mean/median reward 2393.3/2491.5, min/max reward 577.7/2549.7, entropy 3.14, value loss 8.29, policy loss -0.006
Updates 103, num timesteps 4120000, FPS 933, mean/median reward 2408.6/2495.6, min/max reward 419.3/2551.6, entropy 3.10, value loss 10.76, policy loss -0.005
Updates 104, num timesteps 4160000, FPS 933, mean/median reward 2413.0/2503.0, min/max reward 419.3/2562.0, entropy 3.05, value loss 5.83, policy loss -0.002
Updates 105, num timesteps 4200000, FPS 933, mean/median reward 2443.3/2509.2, min/max reward 419.3/2567.3, entropy 2.99, value loss 4.34, policy loss -0.003
Updates 106, num timesteps 4240000, FPS 929, mean/median reward 2456.2/2513.4, min/max reward 580.3/2573.0, entropy 2.95, value loss 11.72, policy loss -0.005
Updates 107, num timesteps 4280000, FPS 929, mean/median reward 2389.4/2519.4, min/max reward 208.2/2600.9, entropy 2.92, value loss 21.45, policy loss -0.008
Updates 108, num timesteps 4320000, FPS 927, mean/median reward 2361.0/2519.2, min/max reward 208.2/2600.9, entropy 2.90, value loss 16.37, policy loss -0.007
Updates 109, num timesteps 4360000, FPS 926, mean/median reward 2327.6/2519.5, min/max reward 208.2/2600.9, entropy 2.88, value loss 9.89, policy loss 0.002
Updates 110, num timesteps 4400000, FPS 926, mean/median reward 2384.5/2528.2, min/max reward 522.5/2594.4, entropy 2.85, value loss 8.55, policy loss -0.009
Updates 111, num timesteps 4440000, FPS 923, mean/median reward 2377.3/2536.6, min/max reward 522.5/2601.9, entropy 2.82, value loss 15.35, policy loss -0.008
Updates 112, num timesteps 4480000, FPS 922, mean/median reward 2383.0/2542.7, min/max reward 527.5/2601.9, entropy 2.80, value loss 15.78, policy loss -0.005
Updates 113, num timesteps 4520000, FPS 916, mean/median reward 2398.3/2550.3, min/max reward 480.6/2614.8, entropy 2.79, value loss 18.74, policy loss -0.009
Updates 114, num timesteps 4560000, FPS 915, mean/median reward 2413.4/2553.6, min/max reward 480.6/2614.8, entropy 2.75, value loss 7.76, policy loss -0.003
Process ForkProcess-125:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-124:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-123:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-122:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-121:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-120:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-119:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 407, in _recv_bytes
    buf = self._recv(4)
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 383, in _recv
    raise EOFError
EOFError
Process ForkProcess-118:
Traceback (most recent call last):
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 258, in _bootstrap
    self.run()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/process.py", line 93, in run
    self._target(*self._args, **self._kwargs)
  File "/home/uni/Documents/python/optim/SteppingStone/common/envs_utils.py", line 646, in _subproc_worker
    cmd, data = pipe.recv()
  File "/home/uni/.pyenv/versions/3.6.10/lib/python3.6/multiprocessing/connection.py", line 250, in recv
    buf = self._recv_bytes()
